INVALID ACTOR Actor 	id = ac39ecdf-333b-474e-a6aa-131701cbb3ca	name = Edward Albert~jr.                                 	dob = null    
INVALID ACTOR Actor 	id = f9460484-c268-4465-9abd-71df43a222b3	name = Joseph Allen~jr.                                  	dob = null    
INVALID ACTOR Actor 	id = 54a4e44d-b24a-4a8c-97df-f18f22fe3228	name = Michael Anderson~jr.                              	dob = 1943    
INVALID ACTOR Actor 	id = cf100e65-8d22-4d26-9549-e2cf1e9ec820	name = Fr\'ed\'ric Andrei                                	dob = null    
INVALID ACTOR Actor 	id = 1dcf0f4d-6c8a-4e6a-a59e-b815fe9bb383	name = Desi Arnaz~jr.                                    	dob = 1953    
INVALID ACTOR Actor 	id = 04f776f8-f74f-474b-be8f-c72fd170bd52	name = Ren\`ee Asherson                                  	dob = 1920    
INVALID ACTOR Actor 	id = a88d3243-c848-44a8-b086-fdebb4db5ceb	name = John Barrymore~jr.                                	dob = 1932    
INVALID ACTOR Actor 	id = 7c81a861-fa7f-462d-95d3-751fb3a3ced8	name = John Barrymore~III                                	dob = null    
INVALID ACTOR Actor 	id = a97bae2c-bb33-49bc-be03-a6eded405302	name = Noah Beery~jr.                                    	dob = 1913    
INVALID ACTOR Actor 	id = 9d082c3d-7b46-435b-956d-df600b827b0a	name = Ed Begley~jr.                                     	dob = null    
INVALID ACTOR Actor 	id = 0c172d33-78e1-44b2-b20f-0408251823ad	name = Paul Boensh~III                                   	dob = null    
INVALID ACTOR Actor 	id = 190b5924-1f35-4bf0-be57-f6855864dba6	name = Val\'erie Bonnier                                 	dob = null    
INVALID ACTOR Actor 	id = 2ed9b217-9334-46de-b63e-7a3834cf6445	name = William `Stage' Stage                             	dob = null    
DUPLICATE     Actor 	id = e575793e-bc09-43c1-b427-14c492ec72f1	name = Kenneth Branagh                                   	dob = null    
DUPLICATE     Actor 	id = dee98698-7f9c-4707-986e-01e3b9246415	name = Wilford Brimley                                   	dob = null    
INVALID ACTOR Actor 	id = d5479417-f8bd-4e69-b21c-bd04c7a5f3d0	name = J.~Edward Bromberg                                	dob = 1903    
INVALID ACTOR Actor 	id = 0b2bc7ad-b28f-41f3-bd57-997de49baceb	name = Billy "Green" Bush                                	dob = null    
DUPLICATE     Actor 	id = 14812bf1-3e34-4b27-a23a-fc84c9d3c3e1	name = Colin Campbell                                    	dob = 1937    
INVALID ACTOR Actor 	id = c655cd79-0d7d-4379-8bf9-65b5b7d18164	name = Harry Carey~jr.                                   	dob = null    
DUPLICATE     Actor 	id = 6ad03c1b-47b2-4772-80ce-634616ead795	name = John Cassavetes                                   	dob = 1929    
INVALID ACTOR Actor 	id = 919a3c55-1025-44ba-8ae1-aedf029aa3e1	name = Lon Chaney~jr.                                    	dob = 1906    
INVALID ACTOR Actor 	id = d7831d96-f336-45e9-985c-f8018ea15536	name = David Colin~jr.                                   	dob = null    
INVALID ACTOR Actor 	id = 21970312-1954-409e-a795-f34d9e9a991d	name = Elisha Cook~jr.                                   	dob = 1902    
INVALID ACTOR Actor 	id = 107b81cc-aedd-4d66-a987-5cc75e479a54	name = Douglas `Wrong Way' Corrigan                      	dob = 1907    
INVALID ACTOR Actor 	id = da3a6d9f-3c51-4059-aacf-93de60e01f60	name = Caroline `Tula' Cossey                            	dob = 1955    
INVALID ACTOR Actor 	id = c8905add-f54a-4f3d-97d5-814adbb1b7ca	name = Herbert `Cowboy' Coward                           	dob = null    
INVALID ACTOR Actor 	id = 2a9e2d0a-171a-464e-a8fd-7ca8f2d0a8d3	name = Sammy Davis~jr.                                   	dob = 1925    
DUPLICATE     Actor 	id = feb29999-246a-4bb7-a862-67f14cd75f05	name = William Devane                                    	dob = null    
INVALID ACTOR Actor 	id = f2756f54-beb7-4a07-9de3-a285fdbb65bd	name = Fifi D\'Orsay                                     	dob = 1904    
INVALID ACTOR Actor 	id = f6c9b013-49df-4c9e-b9cf-245d606a8b1c	name = Robert Downey~jr.                                 	dob = 1965    
INVALID ACTOR Actor 	id = 70f56bf0-2b27-47ee-a98d-e4ce6708d6d9	name = Gosta Eckman~sr.                                  	dob = null    
INVALID ACTOR Actor 	id = 4f5ba623-66fd-499b-954d-f256d87d30cd	name = `Wild Bill' Elliott                               	dob = 1904    
INVALID ACTOR Actor 	id = 7df8fa14-9fbf-407f-b0fd-1d4968170a8e	name = Douglas Fairbanks~sr                              	dob = 1883    
INVALID ACTOR Actor 	id = c458f2cb-d110-4ed9-aa45-01a655893671	name = Douglas Fairbanks~jr.                             	dob = 1909    
DUPLICATE     Actor 	id = 4e5bfa5b-81e0-474b-8675-43d69e47df67	name = Derek Farr                                        	dob = null    
DUPLICATE     Actor 	id = 706d38f2-ccc7-48c0-836a-915b86fb069b	name = Charles Farrell                                   	dob = 1901    
DUPLICATE     Actor 	id = 21a82d47-cacd-4e76-8da0-5afc7a25c32e	name = Frances Fisher                                    	dob = null    
INVALID ACTOR Actor 	id = 2e7d413c-85cb-475f-af88-18a442b23dbd	name = George "Buck" Flower                              	dob = null    
INVALID ACTOR Actor 	id = cb10ef8c-5c0c-4eef-9b42-928d56d82aca	name = Eddie Foy~jr.                                     	dob = 1905    
INVALID ACTOR Actor 	id = 629c9c09-fff7-473b-9c89-1b3baab55cda	name = Al Freeman~jr                                     	dob = 1934    
INVALID ACTOR Actor 	id = 08bab4d8-c9cc-4a1d-a049-1106cefde0b2	name = Joaquin Garay~III                                 	dob = null    
INVALID ACTOR Actor 	id = 76dd6bb8-2393-4f94-8381-bfc14823f11c	name = C.~Henry Gordon                                   	dob = 1882    
INVALID ACTOR Actor 	id = f8f99f30-90f4-470e-bf1c-e001700b92c4	name = Lou Gossett~jr.                                   	dob = null    
DUPLICATE     Actor 	id = b26ad6a0-26b0-4606-8357-f83a476b596b	name = Peter Graves                                      	dob = 1911    
INVALID ACTOR Actor 	id = 4d5cb8fa-4f77-4205-beb1-edc2c908568b	name = Fernando Guill\'en                                	dob = null    
INVALID ACTOR Actor 	id = f8a6f151-6784-4c5c-b0ec-041a29590ac6	name = Alan Hale~jr.                                     	dob = 1918    
DUPLICATE     Actor 	id = 6b779499-b21c-4cfc-8f25-3e27a8a0643d	name = Laurence Harvey                                   	dob = 1928    
DUPLICATE     Actor 	id = c7c86c70-ca03-45c6-8855-1dd72c43d5c3	name = Nicky Henson                                      	dob = 1945    
INVALID ACTOR Actor 	id = ad25a92c-358f-4c26-8a83-466f77ea273c	name = Arnold Hess~jr.                                   	dob = null    
DUPLICATE     Actor 	id = 4d046c4c-c107-4dff-a408-766086aace98	name = William Holden                                    	dob = 1918    
INVALID ACTOR Actor 	id = 4d29215c-822e-42b2-b5a1-ace8cdd8051e	name = Ren\'ee Houston                                   	dob = 1901    
DUPLICATE     Actor 	id = 351c88f2-c4d8-4290-b4fb-ceb01ca6c133	name = Rex Ingram                                        	dob = 1895    
INVALID ACTOR Actor 	id = f54541eb-6273-4694-9db0-0656e86ee2f7	name = Fr\'ed\'erique Jamet                              	dob = null    
INVALID ACTOR Actor 	id = f42f2044-23ee-4ee0-938e-e16571d9553b	name = Claude Jarman~jr.                                 	dob = 1934    
INVALID ACTOR Actor 	id = 45f8bfcb-bfaf-484d-bda4-571313a4c054	name = Jackie \'Butch' Jenkins                           	dob = 1937    
INVALID ACTOR Actor 	id = daf8d3af-ba4d-4c01-afd2-22a5d1148e52	name = J. Herbert Kerr~jr.                               	dob = null    
DUPLICATE     Actor 	id = ec6ea35f-7c75-452f-9317-86e75639c19e	name = Charles King                                      	dob = 1899    
INVALID ACTOR Actor 	id = d1239888-5d6b-4151-a60a-16115682c853	name = Linda Koslowski)                                  	dob = null    
DUPLICATE     Actor 	id = 0070e282-65ce-453c-8ac3-14fd90a93336	name = Jack Lambert                                      	dob = 1920    
INVALID ACTOR Actor 	id = e8640dbc-734a-4ed6-99de-edbcaeea4451	name = Allan \'Rocky' Lane                               	dob = 1901    
INVALID ACTOR Actor 	id = 9a6536ee-0d1a-4463-a23d-5d53aedf2690	name = L\'eon M. Lion                                    	dob = null    
DUPLICATE     Actor 	id = 3a3e0b8a-0d4b-4244-9e27-7c430bdf4c36	name = Jane March                                        	dob = 1973    
DUPLICATE     Actor 	id = 0a50ff04-e203-4149-b5de-a3e217e1b42f	name = Spanky McFarland                                  	dob = null    
INVALID ACTOR Actor 	id = 5f5ad167-a174-48d2-a142-d2e006ba905c	name = Fuller Mellish~jr.                                	dob = null    
INVALID ACTOR Actor 	id = a6ee8d72-4111-4239-8be0-e918950b1e75	name = Grace `Bambi' Moehrle                             	dob = 1960    
DUPLICATE     Actor 	id = 975195ff-4ed4-4a88-a8b7-4c03eb7d141b	name = Mary Morris                                       	dob = 1915    
DUPLICATE     Actor 	id = ac9150b7-a754-4fa2-98a8-548d0e4a77ef	name = Jennifer ONeill                                   	dob = 1947    
DUPLICATE     Actor 	id = fff6a903-f728-4316-8576-9881062ec98f	name = Raymond Pellegrin                                 	dob = null    
INVALID ACTOR Actor 	id = 36c11a4e-52bc-4b8c-a67e-cfbeae93359b	name = Francois P\'erier                                 	dob = 1919    
