No of Actors read '6775'.
Actor 	id = 1d7cb619-062b-4a21-af3d-9f6a6e8e8770	name = Philip Locke                                      	dob = null    
Actor 	id = 58764b3e-94c8-4f5a-818c-15f3db76be6b	name = Glen Shadix                                       	dob = null    
Actor 	id = 5549cc1c-7620-4ab4-80f5-c6db25d6093f	name = Julie Bishop                                      	dob = 1914    
Actor 	id = ae52cf1c-4b94-4952-b05a-16bd9d7c1716	name = Vicki Frederick                                   	dob = null    
Actor 	id = 97aa8535-6385-479a-9180-64ba24d3ff9a	name = Rudolph Forster                                   	dob = 1884    
Actor 	id = 31ac7409-9661-4550-adc6-20f7e14b177e	name = Pauline Starke                                    	dob = 1901    
Actor 	id = c05e7a1f-d224-4314-89a4-53a73bbc8b37	name = Richard Dix                                       	dob = 1894    
Actor 	id = 27e9e261-3df0-4b5d-9f8b-bdaae6d8faf9	name = Christopher Hewett                                	dob = null    
Actor 	id = 2936201d-b68b-47da-9256-23f58ce98b3b	name = Cicely Tyson                                      	dob = 1933    
Actor 	id = 72964f3f-115f-4cfa-8748-a7ca6d70d6fc	name = Anthony Andrews                                   	dob = 1948    
Actor 	id = 580c3592-6032-433e-a33e-9ec5b3e9ad54	name = William Alland                                    	dob = 1916    
Actor 	id = 5c3d65fb-0b74-4574-a9d2-0e9cc748bada	name = Vittorio DeSica                                   	dob = 1901    
Actor 	id = 480e3d5d-a690-4da7-8d7c-1b94f125a995	name = Ray Danton                                        	dob = 1931    
Actor 	id = 66b77f28-58c0-4563-96c1-43655382fbf1	name = Pina Pellicer                                     	dob = null    
Actor 	id = e38c9767-b72d-4308-813f-cdfe90160462	name = Dyson Lovell                                      	dob = null    
Actor 	id = 2e697d96-7f3c-4f03-aa84-dc797a3a6fe6	name = Maria Barranco                                    	dob = null    
Actor 	id = 68b8b7d1-d03d-4399-9df5-3f63d5d6c8fc	name = Arleen Whelan                                     	dob = 1916    
Actor 	id = 6794784e-09c9-4025-9ab4-cfbde6d0d566	name = Roy Emerton                                       	dob = 1892    
Actor 	id = 705a65ff-4490-4961-9af6-452301fef33a	name = Robert Hays                                       	dob = 1948    
Actor 	id = 47aba751-863a-4ed5-ac3d-735d42d28889	name = Robbie Robertson                                  	dob = null    
Actor 	id = d80510f2-722c-4cd7-a780-6ab5b3b2d1cd	name = Sam Shepard                                       	dob = 1943    
Actor 	id = 197baeaa-533f-46d4-983b-07d3c14520af	name = Bertice Reading                                   	dob = null    
Actor 	id = 7afcba2f-16e3-48ee-9225-1ac841a7a0a2	name = Raymond Walburn                                   	dob = 1887    
Actor 	id = 4129a334-bc7c-4249-8fa9-c9a07c794c7d	name = Julia Foster                                      	dob = 1941    
Actor 	id = 153fbd30-73d3-4fb2-841e-3bf5e5ef0fa0	name = Michael StAngel                                   	dob = null    
Actor 	id = 87c44f39-3879-4db5-b069-4f540607db27	name = William Collier                                   	dob = 1866    
Actor 	id = 6d84257d-4ab5-4df0-8c2a-d535cb939e0f	name = Dolores Hart                                      	dob = 1938    
Actor 	id = f1783882-0d15-4871-8b8d-8a28913ab46e	name = Erland Josephson                                  	dob = null    
Actor 	id = 30f33c60-b7ba-46e6-9ba5-75db58b77895	name = Harry Morgan                                      	dob = 1915    
Actor 	id = 96a5dceb-f0ef-41ed-9fad-269fab86b3ad	name = Gail Russell                                      	dob = 1924    
Actor 	id = 6c19df4a-941f-4e15-acf3-df3125359641	name = Hugh OConnor                                      	dob = 1922    
Actor 	id = 5489a5d9-eb1a-41f0-b2dc-958eebd242f4	name = Jennifer Warren                                   	dob = 1941    
Actor 	id = ed2e67b5-c000-4cdb-acdc-d845c34e4396	name = Patrick ONeal                                     	dob = 1927    
Actor 	id = 029c9783-3a98-44fc-bf3b-00a04a86bfa9	name = Vivien Leigh                                      	dob = 1913    
Actor 	id = 3c59e08a-edbb-40cd-ad26-2093190e327f	name = Leila Hermosa                                     	dob = null    
Actor 	id = 096989fc-25f8-43e5-90e7-1c380344b5df	name = William Tracy                                     	dob = 1917    
Actor 	id = 180e42c0-8350-4448-82b5-6eb4b579c7bf	name = Elsa Martinelli                                   	dob = 1933    
Actor 	id = 82d8c65d-7149-4767-863d-1627295a5a00	name = Muhammed Ali                                      	dob = 1942    
Actor 	id = 5aaec63f-cbcb-462b-9a1e-379995ec8f91	name = Terrence deMarney                                 	dob = 1909    
Actor 	id = c11e15da-d156-4b12-981e-5ba311a4ee5d	name = Max Linder                                        	dob = 1883    
Actor 	id = af6834f1-9d06-49c6-9278-45a82e4bed61	name = James Caan                                        	dob = 1938    
Actor 	id = 842d4c72-bcd3-4fc3-bb4f-11482233d40d	name = James Gregory                                     	dob = 1911    
Actor 	id = 27610ea7-bb1f-4ff1-8573-da7c8d686105	name = Irene Miracle                                     	dob = null    
Actor 	id = e4546c65-7178-4519-a390-d8fb1ac4b3a8	name = Ida Lupino                                        	dob = 1914    
Actor 	id = ee5fae40-77e8-4e2f-9cc9-1221cf47f5f7	name = Emma Thompson                                     	dob = null    
Actor 	id = 88364b5f-d7c1-4500-9511-9c7d49709b76	name = Mark Stevens                                      	dob = 1916    
Actor 	id = 6cbc0a41-8a92-42bc-b1c1-3a46680e8606	name = Angie Dickinson                                   	dob = 1931    
Actor 	id = 0725361b-535f-47d3-bed2-51da2751e665	name = Snub Pollard                                      	dob = 1886    
Actor 	id = a3ba7dde-c7c7-47da-8ba5-d710c80cbb2b	name = Rene Ray                                          	dob = 1912    
Actor 	id = db3c1cd9-5762-4691-9e57-e54ba6c83b82	name = Olga Slade                                        	dob = null    
Actor 	id = d54886c0-24eb-46f2-80b9-facdc54c4d71	name = Ernest Truex                                      	dob = 1890    
Actor 	id = 95383dcf-908b-41d9-b2c3-cdcdc5275f1d	name = Sydney Rome                                       	dob = 1947    
Actor 	id = 5c1e5d16-7178-442b-b818-2187df669839	name = Mary Nolan                                        	dob = 1905    
Actor 	id = 49efab96-39ab-491c-b193-5dc66b101863	name = Anne Nagel                                        	dob = 1912    
Actor 	id = 906bd543-bc97-4ea3-83fc-77cf4582c477	name = Burt Young                                        	dob = null    
Actor 	id = 6cc2ac7f-b690-4cd4-b540-8d336557b0a2	name = Paul Mazursky                                     	dob = 1938    
Actor 	id = 9546cc21-f625-40db-ba2e-a647c9f858d9	name = Lee Marvin                                        	dob = 1924    
Actor 	id = 6678fc21-be84-46de-b012-3af4fc201e84	name = Neva Patterson                                    	dob = 1925    
Actor 	id = bd6fbd0b-6ba6-417e-89a0-508f57255e01	name = Dan Resin                                         	dob = null    
Actor 	id = 84424c4c-0b71-47e3-baf1-a01848a8c1d8	name = Paul Ford                                         	dob = 1901    
Actor 	id = 12f401ff-ee1b-4416-ab94-f620fd05b5c7	name = Christopher Lambert                               	dob = null    
Actor 	id = bf7da54f-d94f-4a75-a3cf-37c0f6b083d7	name = Sean McClory                                      	dob = 1923    
Actor 	id = 7b948ffb-9441-438c-be39-7ee49c5bcdc9	name = Nigel Davenport                                   	dob = 1928    
Actor 	id = 9da46621-c37d-4e2b-a725-c894af3302ad	name = George Coulouris                                  	dob = 1903    
Actor 	id = cecdf53e-091b-4124-ab68-76ff1dde7cd2	name = Jose Perez                                        	dob = null    
Actor 	id = 32c65020-14a8-438f-b527-89557d8eb00e	name = Art Smith                                         	dob = 1899    
Actor 	id = 31edb9e6-9f15-4488-ba0f-3fe58e170419	name = David Bowie                                       	dob = 1947    
Actor 	id = 6e92c7ad-99df-4bd3-bc51-766da37fbd58	name = Cyril Fletcher                                    	dob = 1913    
Actor 	id = 26868189-7c9c-4e76-8fbe-2629d1fdf2c8	name = Gary Brockette                                    	dob = null    
Actor 	id = 9577af97-3525-44f0-9da3-2738b5c8cb68	name = Randy Quaid                                       	dob = 1953    
Actor 	id = d35732f2-6dc1-4d2c-b1a5-60153db53dfd	name = Ernest Cosart                                     	dob = null    
Actor 	id = 98a60b1e-0984-4a85-a24a-ce23a3370496	name = Barbara Harris                                    	dob = 1936    
Actor 	id = d2742d0c-b0df-4aaa-b3e5-bb20fe6bd5d1	name = Liam Neeson                                       	dob = null    
Actor 	id = 666647a8-139c-4d6e-be85-c85b4302a794	name = Jay Silverheels                                   	dob = 1919    
Actor 	id = a8d42917-a35c-4e4f-b8fa-f8d25bfc5b22	name = Ray Bolger                                        	dob = 1904    
Actor 	id = c625abd3-c0f2-406c-b330-4d3688d5b3c8	name = Richard B. Shull                                  	dob = null    
Actor 	id = c9453bf2-e777-4593-bea5-df6b2902672a	name = Elena Fiore                                       	dob = null    
Actor 	id = 586f4340-c0a1-4865-a104-3924daca72f2	name = Robert Forster                                    	dob = 1942    
Actor 	id = 8553d5c4-b8ba-4932-90d8-0068b2b240ee	name = Buck Jones                                        	dob = 1889    
Actor 	id = 33d8ff99-b6b3-446a-ace6-c85f09a16968	name = Stephen McHattie                                  	dob = null    
Actor 	id = a139b06b-0690-4420-8a9f-53a8e79d6cfc	name = Dennis Moore                                      	dob = null    
Actor 	id = aa73fd06-cb15-4132-9490-e616fc29cc56	name = Haya Harareet                                     	dob = 1934    
Actor 	id = 72f046d1-a5a2-4be4-b8fa-37620456389f	name = Alice Faye                                        	dob = 1912    
Actor 	id = f57327c5-0015-4f1c-bdf6-a9a3a9b869b2	name = Jane Dulo                                         	dob = null    
Actor 	id = 47e9dfd1-e540-4225-843c-ec03b3cd2561	name = Miriam Cooper                                     	dob = 1900    
Actor 	id = 0dfa73bf-0895-4b51-a239-c365c9c93636	name = John Qualen                                       	dob = null    
Actor 	id = 5ce755cc-c305-49e5-8e54-bb1150559efa	name = Lea Massari                                       	dob = 1933    
Actor 	id = 3d03b1ed-160a-4f28-a195-cfa660df06b3	name = Dolly Haas                                        	dob = 1910    
Actor 	id = 806bb7df-19b5-46ad-ad67-ed808671ce96	name = E.G. Marshall                                     	dob = 1910    
Actor 	id = 7c4b9184-01ae-45d6-aa43-802e5dfc7cee	name = Danny Stone                                       	dob = null    
Actor 	id = 465d5a17-56bc-4dd9-a76b-ce376ca49c59	name = Tilda Swinton                                     	dob = null    
Actor 	id = 6ecc25c6-7435-4397-aba2-c3d0ab52df9f	name = Ivory Stone                                       	dob = null    
Actor 	id = 6914fe70-aa5e-497d-9afe-d5056494aecd	name = John Carson                                       	dob = 1927    
Actor 	id = e5ec1bfb-a280-4621-af9b-881666bbe152	name = Danny Kaye                                        	dob = 1913    
Actor 	id = f4c849e3-c310-4b05-982b-957ca3b9e792	name = Hardy Kruger                                      	dob = 1928    
Actor 	id = aaaf758a-0635-485f-877c-707c085d1fc7	name = Peter Whitney                                     	dob = 1916    
Actor 	id = 39e77924-5498-4a5f-a962-2d4ccd413295	name = Dan Grimaldi                                      	dob = null    
Actor 	id = 79acefb0-424a-4240-ad92-307cae797d27	name = Edward Everett Horton                             	dob = 1886    
Actor 	id = f9f85f13-786d-4a31-866d-8c9342d004b4	name = Marcie Barkin                                     	dob = null    
Actor 	id = c1a47a57-366d-4e4b-9e95-78944eda59ad	name = Dermot Walsh                                      	dob = 1924    
Actor 	id = 6d817d6b-b761-41a0-b571-ccfab52915d4	name = Arthur Wontner                                    	dob = 1875    
Actor 	id = 662158d1-5afc-476f-b6ae-7d4fd321a78e	name = Alice Cooper                                      	dob = null    
Actor 	id = c219124d-7a23-4005-8f79-7c264f3f17ea	name = Maria deMadeiros                                  	dob = null    
Actor 	id = 2c21b886-f40f-4d0c-a3c5-e67bb38d2be8	name = Rory Calhoun                                      	dob = 1922    
Actor 	id = 0699a76e-cd9f-4be4-9225-471c3cf3ae29	name = Edward G. Robinson                                	dob = 1893    
Actor 	id = bfa8bbdf-c6d7-4779-adb7-78ee2fb1e9a0	name = Stephen Sachs                                     	dob = null    
Actor 	id = 6d723ec4-4852-4dfe-af85-e52a16f1b59b	name = Albert Henderson                                  	dob = null    
Actor 	id = c731417b-8b36-49e9-ba69-c7bca8cabfa0	name = Joanne Dru                                        	dob = 1923    
Actor 	id = fa0fccbb-f06a-4b55-9f54-951ead11fa66	name = Margot Grahame                                    	dob = 1911    
Actor 	id = ddd571b6-a695-4d3c-8f59-10a5bc6e0bba	name = Howard MarionCrawford                             	dob = 1914    
Actor 	id = 57ad673c-096f-4475-aea0-d8e5a8ddb70f	name = Pinky Lee                                         	dob = null    
Actor 	id = 8ebe6e95-0e0a-4cd0-84b3-dabb983cd556	name = Janet Blair                                       	dob = 1921    
Actor 	id = ccb79891-70f5-4c7a-80fe-79aeb4155903	name = Darby Hinton                                      	dob = null    
Actor 	id = f762c4ec-e9a8-4e32-ab93-6f20e592aaf7	name = Otto Kruger                                       	dob = 1885    
Actor 	id = 1436beb2-403a-44d9-9ffb-fea57edb622d	name = Richard Whorf                                     	dob = 1906    
Actor 	id = 7649a88f-52b4-4497-866b-20550b1d8271	name = Hermione Baddeley                                 	dob = null    
Actor 	id = 140fc334-3672-4dc0-b13e-0bf885b62e63	name = Harold Bergman                                    	dob = null    
Actor 	id = b689050f-0de4-496d-8922-617c2ec2d6bb	name = Wally Brown                                       	dob = 1989    
Actor 	id = b4bd712c-9e4c-4b39-8207-626c4eb9ee1a	name = Frank Thornton                                    	dob = 1921    
Actor 	id = 8c318585-b737-4957-8e29-73bd482b532b	name = John Vernon                                       	dob = 1935    
Actor 	id = 0263f535-659a-46a7-9a6c-ed804221d968	name = Mary Woronov                                      	dob = null    
Actor 	id = 26353048-8812-426b-8820-f86e4e21d566	name = James Robertson Justice                           	dob = null    
Actor 	id = 72a17c34-d4e6-46db-a66c-42ab4a98d9f5	name = Reni Santoni                                      	dob = 1939    
Actor 	id = f0cdcff1-6ad0-4763-a18b-ba8c8aaeec25	name = Zeppo Marx                                        	dob = 1901    
Actor 	id = 1ee6635a-45ab-4c83-a5f1-1c48fdaea6a2	name = Martin Milner                                     	dob = 1927    
Actor 	id = 74ce9928-2c0f-46f8-8d1c-93832fae5585	name = Lorraine Newman                                   	dob = null    
Actor 	id = 992e20bb-69d5-4287-a860-afc3afba3c7b	name = Michael Sacks                                     	dob = null    
Actor 	id = e152f1b2-523d-4573-89fd-a9e2111f06e6	name = G.M. Anderson                                     	dob = 1882    
Actor 	id = badcbd72-eb27-4c30-a9c5-cc8797c65fff	name = Richard Benedict                                  	dob = 1916    
Actor 	id = f5fac136-38e0-4e98-9c94-bcc77ad4a82b	name = Peggy Mount                                       	dob = 1916    
Actor 	id = fcf4ddfd-9acd-4b87-b18c-00b1fd393486	name = Vivian Kubrick                                    	dob = null    
Actor 	id = 0532b769-1953-4a2c-a851-e80172e95fb7	name = Linda Manz                                        	dob = 1961    
Actor 	id = b3da3b43-aa39-42d8-915b-db0c5b7e1fe2	name = Ralph Sanford                                     	dob = 1899    
Actor 	id = 7494396b-89e8-4c5d-9588-bbe29105e9bf	name = James Dunn                                        	dob = 1905    
Actor 	id = f71262f9-5823-46fc-8c86-2c672bb2c082	name = Morgan Freeman                                    	dob = null    
Actor 	id = a240db7d-ee57-4c58-b200-59c3c41b2dbb	name = Tawny Kitaen                                      	dob = null    
Actor 	id = 503ae965-a45f-401d-8685-8f37eed1f8f4	name = Cyril Delevanti                                   	dob = 1887    
Actor 	id = 7377bee6-b7c9-42f7-977b-8b1cae29d844	name = Megs Jenkins                                      	dob = 1917    
Actor 	id = 6970c1b2-984c-4a31-a681-f3204386288c	name = Kurt Raab                                         	dob = null    
Actor 	id = c96fafd1-75fc-4b1d-8707-c0993742e4bd	name = ShabbaDoo                                         	dob = null    
Actor 	id = b68cb192-e5e1-4b86-9595-76f2c25ad2d3	name = Cathryn Harrison                                  	dob = null    
Actor 	id = 2de06cea-6340-40ac-94de-21b69a96532a	name = Don Pardo                                         	dob = null    
Actor 	id = 09d1b13f-b4ca-4beb-95ea-d598b975d12a	name = Anika Pavel                                       	dob = null    
Actor 	id = 16a4485d-91c7-4261-bdd4-a38936164f8a	name = Dame Edith Evans                                  	dob = 1888    
Actor 	id = e37b0af9-5926-4e73-9ab8-fa53f1115bff	name = Joe Dobisch                                       	dob = null    
