GENRE ERROR Film 	id = H2        	title = Number Thirteen                                   	year = 1922    	director = Hitchcock           	rating = 0.00	genres = []
GENRE ERROR Film 	id = H4        	title = The Passionate Adventure                          	year = 1924    	director = Cutts               	rating = 0.00	genres = []
GENRE ERROR Film 	id = H5        	title = The Blackguard                                    	year = 1925    	director = Cutts               	rating = 0.00	genres = []
NULL ITEMS  Film 	id = H24       	title = Lord Camber's Ladies                              	year = 1932    	director = Benn~Levy           	rating = 0.00	genres = [24-Suspense]
NULL ITEMS  Film 	id = H35       	title = Mr.~and Mrs.~Smith                                	year = 1941    	director = Hitchcock           	rating = 0.00	genres = [18-Romance]
NULL ITEMS  Film 	id = H56       	title = The Case of Mr.~Pelham                            	year = 1955    	director = Hitchcock           	rating = 0.00	genres = [24-Suspense]
NULL ITEMS  Film 	id = H60       	title = Mr.~Blanchhard's Secret                           	year = 1956    	director = Hitchcock           	rating = 0.00	genres = [24-Suspense]
NULL ITEMS  Film 	id = H75       	title = Mrs.~Bixby and The Colonel's Coat                 	year = 1960    	director = Hitchcock           	rating = 0.00	genres = [24-Suspense]
NULL ITEMS  Film 	id = ALu1      	title = La Premiere Seance du Salon Indien au Grand Caf\'e	year = 1895    	director = A.Lumiere           	rating = 0.00	genres = []
NULL ITEMS  Film 	id = ALu2      	title = La Sortie des Usines Lumi\`ere                    	year = 1895    	director = A.Lumiere           	rating = 0.00	genres = [8-Documentary]
NULL ITEMS  Film 	id = ALu3      	title = Arriv\'ee d'un train en G\^are de la Ciatat       	year = 1895    	director = A.Lumiere           	rating = 0.00	genres = [8-Documentary]
NULL ITEMS  Film 	id = ALu4      	title = Le Gouter de B\'eb\'e                             	year = 1895    	director = A.Lumiere           	rating = 0.00	genres = []
NULL ITEMS  Film 	id = ALu5      	title = L'Arroseur arross\'e                              	year = 1895    	director = A.Lumiere           	rating = 0.00	genres = [6-Comedy]
GENRE ERROR Film 	id = ALu7      	title = Boules                                            	year = 1895    	director = A.Lumiere           	rating = 0.00	genres = []
GENRE ERROR Film 	id = ESP16     	title = The Little Train Robbery                          	year = 1905    	director = E.S.Porter          	rating = 0.00	genres = []
GENRE ERROR Film 	id = ESP17     	title = The Kleptomaniac                                  	year = 1905    	director = E.S.Porter          	rating = 0.00	genres = []
GENRE ERROR Film 	id = ESP30     	title = An American Citizen                               	year = 1913    	director = E.S.Porter          	rating = 0.00	genres = []
GENRE ERROR Film 	id = ESP31     	title = A Good Little Devil                               	year = 1913    	director = E.S.Porter          	rating = 0.00	genres = []
GENRE ERROR Film 	id = ESP32     	title = In The Bishop's Carriage                          	year = 1913    	director = E.S.Porter          	rating = 0.00	genres = []
GENRE ERROR Film 	id = ESP33     	title = Caprice                                           	year = 1913    	director = E.S.Porter          	rating = 0.00	genres = []
GENRE ERROR Film 	id = ESP34     	title = Hearts Adrift                                     	year = 1913    	director = E.S.Porter          	rating = 0.00	genres = []
GENRE ERROR Film 	id = GMs1      	title = L'Escamontage d'une Dame                          	year = 1896    	director = Melies              	rating = 0.00	genres = []
GENRE ERROR Film 	id = GMs2      	title = L'Homme orchestre                                 	year = 1900    	director = Melies              	rating = 0.00	genres = []
GENRE ERROR Film 	id = GMs4      	title = Cinderella                                        	year = 1900    	director = Melies              	rating = 0.00	genres = []
GENRE ERROR Film 	id = GMs12     	title = An Impossible Voyage                              	year = 1904    	director = Melies              	rating = 0.00	genres = []
NULL ITEMS  Film 	id = Z0001     	title = Hamlet                                            	year = 1900    	director = Unknown0            	rating = 0.00	genres = []
NULL ITEMS  Film 	id = Z0002     	title = Romea and Juliet                                  	year = 1900    	director = Unknown0            	rating = 0.00	genres = []
NULL ITEMS  Film 	id = Z0003     	title = King Lear                                         	year = 1905    	director = Unknown0            	rating = 0.00	genres = []
NULL ITEMS  Film 	id = Z0004     	title = Julius Cesar                                      	year = 1907    	director = Unknown0            	rating = 0.00	genres = []
NULL ITEMS  Film 	id = Z0005     	title = Othello                                           	year = 1907    	director = Unknown0            	rating = 0.00	genres = []
NULL ITEMS  Film 	id = Z0006     	title = Macbeth                                           	year = 1908    	director = Unknown0            	rating = 0.00	genres = []
NULL ITEMS  Film 	id = Z0007     	title = Richard III                                       	year = 1908    	director = Unknown0            	rating = 0.00	genres = []
