No. of Films read '7958'.
Film 	id = HCP6      	title = The Story of Vernon and Irene Castle              	year = 1939    	director = H.Potter            	rating = 0.00	genres = [5-Biography, 15-Musical]
Film 	id = MBr10     	title = Beverly Hills Cop                                 	year = 1984    	director = Brest               	rating = 0.00	genres = [6-Comedy]
Film 	id = HCP5      	title = Congo Maisie                                      	year = 1938    	director = H.Potter            	rating = 0.00	genres = [3-Adventure]
Film 	id = StN10     	title = Paris, Roman d'une Ville                          	year = 1991    	director = S.Neumann           	rating = 0.00	genres = [8-Documentary]
Film 	id = MMr10     	title = Roger and Me                                      	year = 1990    	director = M.Moore             	rating = 0.00	genres = [8-Documentary]
Film 	id = BSc11     	title = Koko, the Talking Gorilla                         	year = 1977    	director = Schroeder           	rating = 0.00	genres = [8-Documentary]
Film 	id = FGi10     	title = L'Etat Sauvage                                    	year = 1978    	director = Girod               	rating = 0.00	genres = [9-Drama]
Film 	id = GTz10     	title = Antigone                                          	year = 1961    	director = Tzavellas           	rating = 0.00	genres = [9-Drama]
Film 	id = HBn5      	title = Ivanhoe                                           	year = 1913    	director = Brenon              	rating = 0.00	genres = [1-Action]
Film 	id = LVa10     	title = La Bamba                                          	year = 1987    	director = Valdez              	rating = 0.00	genres = [8-Documentary, 15-Musical]
Film 	id = DeJ28     	title = Edward II                                         	year = 1992    	director = Jarman              	rating = 0.00	genres = [9-Drama]
Film 	id = SE4       	title = Bronenosets Potemkin                              	year = 1925    	director = Eisenstein          	rating = 0.00	genres = [9-Drama]
Film 	id = HBn8      	title = Neptune's Daughter                                	year = 1914    	director = Brenon              	rating = 0.00	genres = [11-Fantasy]
Film 	id = SE6       	title = Oktober                                           	year = 1927    	director = Eisenstein          	rating = 0.00	genres = [8-Documentary]
Film 	id = SE8       	title = Staroye i Novoye                                  	year = 1928    	director = Eisenstein          	rating = 0.00	genres = [8-Documentary]
Film 	id = LVa12     	title = Zoot Suit                                         	year = 1995    	director = Valdez              	rating = 0.00	genres = [9-Drama]
Film 	id = BSc28     	title = Single White Female                               	year = 1992    	director = Schroeder           	rating = 0.00	genres = [24-Suspense]
Film 	id = IF135     	title = Seven Women                                       	year = 1966    	director = J.Ford              	rating = 0.00	genres = [9-Drama]
Film 	id = TG32      	title = A Connecticut Yankee in King Arthur's Court       	year = 1949    	director = Garnett             	rating = 0.00	genres = [15-Musical]
Film 	id = SRm10     	title = The Velvet Vampire                                	year = 1971    	director = Rothman             	rating = 0.00	genres = [13-Horror, 6-Comedy]
Film 	id = TG30      	title = The Postman Always Rings Twice                    	year = 1946    	director = Garnett             	rating = 0.00	genres = [6-Comedy]
Film 	id = BSc20     	title = Barfly                                            	year = 1987    	director = Schroeder           	rating = 0.00	genres = [5-Biography]
Film 	id = MBr19     	title = Scent of a Woman                                  	year = 1992    	director = Brest               	rating = 0.00	genres = [6-Comedy]
Film 	id = BSc25     	title = Reversal of Fortune                               	year = 1990    	director = Schroeder           	rating = 0.00	genres = [5-Biography]
Film 	id = MBr14     	title = Midnight Run                                      	year = 1988    	director = Brest               	rating = 0.00	genres = [6-Comedy]
Film 	id = HCP1      	title = Beloved Enemy                                     	year = 1936    	director = Porter              	rating = 0.00	genres = [18-Romance]
Film 	id = TG39      	title = The Black Knight                                  	year = 1954    	director = Garnett             	rating = 0.00	genres = [11-Fantasy]
Film 	id = HCP4      	title = The Shopworn Angel                                	year = 1938    	director = Porter              	rating = 0.00	genres = [18-Romance]
Film 	id = DeJ10     	title = Jubilee                                           	year = 1978    	director = Jarman              	rating = 0.00	genres = [11-Fantasy]
Film 	id = CBl73     	title = Signed: Lino Brocka                               	year = 1987    	director = Blackwood           	rating = 0.00	genres = [8-Documentary]
Film 	id = WiF10     	title = John and Julie                                    	year = 1955    	director = Fairchild           	rating = 0.00	genres = [18-Romance, 6-Comedy]
Film 	id = CBl70     	title = My Life for Zarah Leander                         	year = 1986    	director = Blackwood           	rating = 0.00	genres = [8-Documentary]
Film 	id = RbR1      	title = This is Spinal Tap                                	year = 1983    	director = R.Reiner            	rating = 0.00	genres = [15-Musical]
Film 	id = BE2       	title = He Laughed Last                                   	year = 1956    	director = B.Edwards           	rating = 0.00	genres = [36-Scat]
Film 	id = BE1       	title = Bring your Smile Along                            	year = 1955    	director = B.Edwards           	rating = 0.00	genres = [36-Scat]
Film 	id = BE4       	title = This Happy Feeling                                	year = 1958    	director = B.Edwards           	rating = 0.00	genres = [18-Romance, 6-Comedy]
Film 	id = BE3       	title = Mister Cory                                       	year = 1957    	director = B.Edwards           	rating = 0.00	genres = [36-Scat]
Film 	id = BE6       	title = Operation Petticoat                               	year = 1959    	director = B.Edwards           	rating = 0.00	genres = [6-Comedy]
Film 	id = BE5       	title = The Perfect Furlough                              	year = 1959    	director = B.Edwards           	rating = 0.00	genres = [36-Scat]
Film 	id = WiW25     	title = Until the End of the World                        	year = 1992    	director = Wenders             	rating = 0.00	genres = [11-Fantasy]
Film 	id = BE8       	title = Breakfast at Tiffany's                            	year = 1961    	director = B.Edwards           	rating = 0.00	genres = [6-Comedy]
Film 	id = BE7       	title = High Time                                         	year = 1960    	director = B.Edwards           	rating = 0.00	genres = [6-Comedy]
Film 	id = RbR2      	title = Stand By Me                                       	year = 1986    	director = R.Reiner            	rating = 0.00	genres = [18-Romance]
Film 	id = BE9       	title = Experiment in Terror                              	year = 1962    	director = B.Edwards           	rating = 0.00	genres = [24-Suspense]
Film 	id = RbR3      	title = The Princess Bride                                	year = 1987    	director = R.Reiner            	rating = 0.00	genres = [18-Romance]
Film 	id = WiW20     	title = Wings of Desire                                   	year = 1988    	director = Wenders             	rating = 0.00	genres = [11-Fantasy]
Film 	id = IMz10     	title = The Long Good Friday                              	year = 1980    	director = Mackenzie           	rating = 0.00	genres = [1-Action]
Film 	id = CBl80     	title = Motel                                             	year = 1989    	director = Blackwood           	rating = 0.00	genres = [8-Documentary]
Film 	id = BSt10     	title = Innocent Blood                                    	year = 1993    	director = Streisand           	rating = 0.00	genres = [9-Drama]
Film 	id = GM190     	title = The Goldwyn Follies                               	year = 1938    	director = Geo.Marshall        	rating = 0.00	genres = [15-Musical]
Film 	id = BSt15     	title = The Mirror Has Two Faces                          	year = 1996    	director = Streisand           	rating = 0.00	genres = [18-Romance]
Film 	id = BF7       	title = Lenny                                             	year = 1974    	director = Fosse               	rating = 0.00	genres = [5-Biography]
Film 	id = BF6       	title = Cabaret                                           	year = 1972    	director = Fosse               	rating = 0.00	genres = [15-Musical, 5-Biography]
Film 	id = BF9       	title = Star 80                                           	year = 1983    	director = Fosse               	rating = 0.00	genres = [9-Drama, 5-Biography]
Film 	id = BF8       	title = All That Jazz                                     	year = 1979    	director = Fosse               	rating = 0.00	genres = [15-Musical]
Film 	id = SiN10     	title = New York Nights                                   	year = 1983    	director = Nuchtern            	rating = 0.00	genres = [30-Porn]
Film 	id = HyM10     	title = Princess Mononoke                                 	year = 1999    	director = Miyazaki            	rating = 0.00	genres = [11-Fantasy]
Film 	id = WiW12     	title = Paris, Texas                                      	year = 1984    	director = Wenders             	rating = 0.00	genres = [24-Suspense]
Film 	id = RA22      	title = Grey Owl                                          	year = 1999    	director = Attenborough        	rating = 0.00	genres = [9-Drama]
Film 	id = CWi10     	title = So Lang noch ein Waltzer von Strauss Erklingt     	year = 1931    	director = C.Wiene             	rating = 0.00	genres = [15-Musical]
Film 	id = IMi10     	title = Red Dawn                                          	year = 1984    	director = Milius              	rating = 0.00	genres = [1-Action]
Film 	id = NCo11     	title = The Return of the Incredible Hulk                 	year = 1988    	director = Corea               	rating = 0.00	genres = [11-Fantasy]
Film 	id = NCo10     	title = The Incredible Hulk                               	year = 1987    	director = Corea               	rating = 0.00	genres = [11-Fantasy]
