No of Films read '8183'.
Film 	id = H1        	title = Always Tell Your Wife                             	year = 1922    	director = Hitchcock           	rating = 0.00	genres = ['Dram', ]
Film 	id = H3        	title = Woman to Woman                                    	year = 1922    	director = Cutts               	rating = 0.00	genres = ['Dram', ]
Film 	id = H7        	title = The Pleasure Garden                               	year = 1927    	director = Hitchcock           	rating = 0.00	genres = ['Dram', ]
Film 	id = H8        	title = The Mountain Eagle                                	year = 1927    	director = Hitchcock           	rating = 0.00	genres = ['Dram', ]
Film 	id = H9        	title = The Lodger: A Story of The London Fog             	year = 1927    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H10       	title = Downhill                                          	year = 1927    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H11       	title = Easy Virtue                                       	year = 1927    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H12       	title = The Ring                                          	year = 1927    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H13       	title = The Farmer's Wife                                 	year = 1928    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H14       	title = Champagne                                         	year = 1928    	director = Hitchcock           	rating = 0.00	genres = ['Romt', ]
Film 	id = H15       	title = Harmony Heaven                                    	year = 1929    	director = Thomas Bentley      	rating = 0.00	genres = ['Susp', ]
Film 	id = H16       	title = The Manxman                                       	year = 1929    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H17       	title = Blackmail                                         	year = 1929    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H18       	title = Elstree Calling                                   	year = 1929    	director = Paul Murray         	rating = 0.00	genres = ['Musc', ]
Film 	id = H19       	title = Juno And The Paycock                              	year = 1930    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H20       	title = Murder!                                           	year = 1930    	director = Hitchcock           	rating = 0.00	genres = ['Myst', ]
Film 	id = H21       	title = The Skin Game                                     	year = 1931    	director = Hitchcock           	rating = 0.00	genres = ['Dram', ]
Film 	id = H22       	title = Rich and Strange                                  	year = 1932    	director = Hitchcock           	rating = 0.00	genres = ['susp', ]
Film 	id = H23       	title = Number Seventeen                                  	year = 1932    	director = Hitchcock           	rating = 0.00	genres = ['Myst', ]
Film 	id = H25       	title = Waltzes From Vienna                               	year = 1933    	director = Hitchcock           	rating = 0.00	genres = ['Romt', , 'Comd', ]
Film 	id = H26       	title = The Man Who Knew Too Much                         	year = 1934    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H27       	title = The 39 Steps                                      	year = 1935    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H28       	title = Secret Agent                                      	year = 1936    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H29       	title = Sabotage                                          	year = 1936    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H30       	title = Young and Innocent                                	year = 1938    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H31       	title = The Lady Vanishes                                 	year = 1938    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H32       	title = Jamaica Inn                                       	year = 1939    	director = Hitchcock           	rating = 0.00	genres = ['Dram', ]
Film 	id = H33       	title = Rebecca                                           	year = 1940    	director = Hitchcock           	rating = 0.00	genres = ['Dram', ]
Film 	id = H34       	title = Foreign Correspondent                             	year = 1940    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H36       	title = Suspicion                                         	year = 1941    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H37       	title = Saboteur                                          	year = 1942    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H38       	title = Shadow of a Doubt                                 	year = 1943    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H39       	title = Lifeboat                                          	year = 1943    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H42       	title = Spellbound                                        	year = 1945    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H43       	title = Notorious                                         	year = 1946    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H44       	title = The Paradine Case                                 	year = 1947    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H45       	title = Rope                                              	year = 1948    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H46       	title = Under Capricorn                                   	year = 1949    	director = Hitchcock           	rating = 0.00	genres = ['Dram', ]
Film 	id = H47       	title = Stage Fright                                      	year = 1950    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H48       	title = Strangers on a Train                              	year = 1951    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H49       	title = I Confess                                         	year = 1952    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H50       	title = Dial M for Murder                                 	year = 1954    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H51       	title = Rear Window                                       	year = 1954    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H52       	title = To Catch a Thief                                  	year = 1955    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H53       	title = The Trouble with Harry                            	year = 1956    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H57       	title = The Man Who Knew Too Much                         	year = 1956    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H61       	title = The Wrong Man                                     	year = 1957    	director = Hitchcock           	rating = 0.00	genres = ['Susp', , 'Docu', ]
Film 	id = H65       	title = Vertigo                                           	year = 1958    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H69       	title = North by Northwest                                	year = 1959    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H73       	title = Psycho                                            	year = 1960    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H79       	title = The Birds                                         	year = 1963    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H80       	title = Marnie                                            	year = 1964    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H81       	title = Torn Curtain                                      	year = 1966    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H82       	title = Topaz                                             	year = 1969    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H83       	title = Frenzy                                            	year = 1972    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H84       	title = Family Plot                                       	year = 1976    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H40       	title = Aventure Malgache                                 	year = 1944    	director = Hitchcock           	rating = 0.00	genres = ['Advt', ]
Film 	id = H41       	title = Bon Voyage                                        	year = 1944    	director = Hitchcock           	rating = 0.00	genres = ['Advt', ]
Film 	id = H54       	title = Revenge                                           	year = 1955    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H55       	title = Breakdown                                         	year = 1955    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H58       	title = Back For Christmas                                	year = 1956    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H59       	title = Wet Saturday                                      	year = 1956    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H62       	title = One More Mile To Go                               	year = 1957    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H63       	title = Four O'Clock                                      	year = 1957    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H64       	title = The Perfect Crime                                 	year = 1957    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H66       	title = Lamb To The Slaughter                             	year = 1958    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H67       	title = A Dip In The Pool                                 	year = 1958    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H68       	title = Poison                                            	year = 1958    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H70       	title = Banquo's Chair                                    	year = 1959    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H71       	title = Arthur                                            	year = 1959    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H72       	title = The Crystal Trench                                	year = 1959    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H74       	title = Incident at a Corner                              	year = 1960    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H76       	title = The Horseplayer                                   	year = 1961    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H77       	title = Bang! You're Dead                                 	year = 1961    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = H78       	title = I Saw The Whole Thing                             	year = 1962    	director = Hitchcock           	rating = 0.00	genres = ['Susp', ]
Film 	id = WKD10     	title = The Edison Kinetopic Record of A Sneeze           	year = 1893    	director = Dickson             	rating = 0.00	genres = ['Docu', ]
Film 	id = WKD50     	title = Terrible Teddy, the Grizzly King                  	year = 1901    	director = Dickson             	rating = 0.00	genres = ['Comd', ]
Film 	id = ALu6      	title = Barque Quittant le Port                           	year = 1895    	director = A.Lumiere           	rating = 0.00	genres = ['Docu', ]
Film 	id = ALu30     	title = L'assissinatat du Duc de Guise                    	year = 1908    	director = A.Lumiere           	rating = 0.00	genres = ['Actn', ]
Film 	id = ESP9      	title = Jack and the Beanstalk                            	year = 1902    	director = E.S.Porter          	rating = 0.00	genres = ['Comd', ]
Film 	id = ESP10     	title = Uncle Tom's Cabin                                 	year = 1902    	director = E.S.Porter          	rating = 0.00	genres = ['Comd', ]
Film 	id = ESP11     	title = Life of an American Fireman                       	year = 1903    	director = E.S.Porter          	rating = 0.00	genres = ['West', ]
Film 	id = ESP12     	title = The Great Train Robbery                           	year = 1903    	director = E.S.Porter          	rating = 0.00	genres = ['West', ]
Film 	id = ESP25     	title = The Count of Monte Christo                        	year = 1912    	director = E.S.Porter          	rating = 0.00	genres = ['Dram', ]
Film 	id = ESP26     	title = The Prisoner of Zenda                             	year = 1912    	director = E.S.Porter          	rating = 0.00	genres = ['Dram', ]
Film 	id = ESP27     	title = His Neighbor's Wife                               	year = 1912    	director = E.S.Porter          	rating = 0.00	genres = ['Dram', ]
Film 	id = ESP28     	title = Tess of the d'Ubervilles                          	year = 1912    	director = E.S.Porter          	rating = 0.00	genres = ['Dram', ]
Film 	id = ESP40     	title = Tess of The Storm Country                         	year = 1914    	director = E.S.Porter          	rating = 0.00	genres = ['Dram', ]
Film 	id = GMs4      	title = Cinderella                                        	year = 1900    	director = Melies              	rating = 0.00	genres = ['Fant ', ]
Film 	id = GMs6      	title = Le voyage dans la lune                            	year = 1902    	director = Melies              	rating = 0.00	genres = ['ScFi', , 'Cart', ]
Film 	id = GMs8      	title = Danseuse Microscopique                            	year = 1902    	director = Melies              	rating = 0.00	genres = ['ScFi', ]
Film 	id = GMs20     	title = L'Homme a la Tete en Caoutchouc                   	year = 1906    	director = Melies              	rating = 0.00	genres = ['Fant', ]
Film 	id = AMv10     	title = The Downward Path                                 	year = 1900    	director = A. Marvin           	rating = 0.00	genres = ['Dram', ]
Film 	id = WRB10     	title = The Magic Sword or A Medieval Mystery             	year = 1891    	director = Booth               	rating = 0.00	genres = ['Fant', ]
Film 	id = WHa1      	title = The Maniac's Guillotine                           	year = 1902    	director = Haggar              	rating = 0.00	genres = ['Horr', ]
Film 	id = WHa8      	title = The Life of Charles Pierce                        	year = 1905    	director = Haggar              	rating = 0.00	genres = ['BioP', ]
Film 	id = WMc10     	title = Kit Carson                                        	year = 1903    	director = McCutcheon          	rating = 0.00	genres = ['Advt', ]
Film 	id = ThE10     	title = Parsifal                                          	year = 1904    	director = Edison              	rating = 0.00	genres = ['Musc', , 'BioP', ]
Film 	id = JaC1      	title = The Wagon Trails                                  	year = 1906    	director = Cruze               	rating = 0.00	genres = ['Advt', ]
Film 	id = JaC10     	title = The Covered Wagon                                 	year = 1923    	director = Cruze               	rating = 0.00	genres = ['West', ]
Film 	id = JaC15     	title = Ruggles of Red Gap                                	year = 1918    	director = Cruze               	rating = 0.00	genres = ['West', ]
Film 	id = JaC20     	title = Beggars on Horseback                              	year = 1925    	director = Cruze               	rating = 0.00	genres = ['West', ]
Film 	id = JaC23     	title = Pony Express                                      	year = 1925    	director = Cruze               	rating = 0.00	genres = ['West', ]
Film 	id = JaC25     	title = Old Ironsides                                     	year = 1926    	director = Cruze               	rating = 0.00	genres = ['Advt', ]
Film 	id = JaC28     	title = The Great Gabbo                                   	year = 1929    	director = Cruze               	rating = 0.00	genres = ['Musc', ]
Film 	id = GKS60     	title = The Dead Man's Claim                              	year = 1912    	director = Spoor               	rating = 0.00	genres = ['West', ]
Film 	id = LMi1      	title = The Last Days of Pompeii                          	year = 1908    	director = Maggi               	rating = 0.00	genres = ['Hist', ]
Film 	id = LMi5      	title = Nero and the Burning of Rome                      	year = 1909    	director = Maggi               	rating = 0.00	genres = ['Hist', ]
Film 	id = LMi23     	title = Autumn Sunset Dream                               	year = 1911    	director = Maggi               	rating = 0.00	genres = ['Dram', ]
Film 	id = LMi25     	title = The Ship with the Lions                           	year = 1912    	director = Maggi               	rating = 0.00	genres = ['Dram', ]
Film 	id = LMi35     	title = The Lion of Venice                                	year = 1914    	director = Maggi               	rating = 0.00	genres = ['Dram', ]
Film 	id = DWG7      	title = The Sealed Room                                   	year = 1909    	director = Griffith            	rating = 0.00	genres = ['Dram', ]
Film 	id = DWG8      	title = A Corner in Wheat                                 	year = 1909    	director = Griffith            	rating = 0.00	genres = ['Dram', ]
Film 	id = DWG9      	title = The Lonely Villa                                  	year = 1909    	director = Griffith            	rating = 0.00	genres = ['Dram', ]
Film 	id = DWG10     	title = The Life of Edgar Allen Poe                       	year = 1909    	director = Griffith            	rating = 0.00	genres = ['BioP', ]
Film 	id = DWG11     	title = The Curtain Pole                                  	year = 1909    	director = Griffith            	rating = 0.00	genres = ['Comd', ]
Film 	id = DWG15     	title = Song of the Wildwood Flute                        	year = 1910    	director = Griffith            	rating = 0.00	genres = ['West', ]
Film 	id = DWG27     	title = Enoch Arden                                       	year = 1911    	director = Griffith            	rating = 0.00	genres = ['Dram', ]
Film 	id = DWG40     	title = The Raven                                         	year = 1912    	director = Griffith            	rating = 0.00	genres = ['BioP', ]
Film 	id = DWG49     	title = The Battle at Elderbush Gulch                     	year = 1913    	director = Griffith            	rating = 0.00	genres = ['West', ]
Film 	id = DWG50     	title = Judith of Bethulia                                	year = 1913    	director = Griffith            	rating = 0.00	genres = ['Dram', ]
Film 	id = DWG51     	title = The Clansman                                      	year = 1915    	director = Griffith            	rating = 0.00	genres = ['Epic', ]
Film 	id = DWG52     	title = Intolerance                                       	year = 1916    	director = vanDyke             	rating = 0.00	genres = ['Epic', , 'Dram', ]
Film 	id = DWG55     	title = The Greatest Question                             	year = 1919    	director = Griffith            	rating = 0.00	genres = ['Dram', ]
Film 	id = DWG57     	title = Broken Blossoms                                   	year = 1919    	director = Griffith            	rating = 0.00	genres = ['Dram', ]
Film 	id = DWG58     	title = True Heart Susie                                  	year = 1919    	director = Griffith            	rating = 0.00	genres = ['Romt', ]
Film 	id = DWG64     	title = Way Down East                                     	year = 1920    	director = Griffith            	rating = 0.00	genres = ['Dram', ]
Film 	id = DWG67     	title = Orphans of the Storm                              	year = 1922    	director = Griffith            	rating = 0.00	genres = ['Epic', ]
Film 	id = DWG71     	title = America                                           	year = 1924    	director = Griffith            	rating = 0.00	genres = ['West', , 'Dram', ]
Film 	id = DWG72     	title = Isn't life Wonderful                              	year = 1924    	director = Griffith            	rating = 0.00	genres = ['Dram', , 'Docu', ]
Film 	id = DWG80     	title = Abraham Lincoln                                   	year = 1930    	director = Griffith            	rating = 0.00	genres = ['BioP', ]
Film 	id = EiC10     	title = Le Binetoscope                                    	year = 1909    	director = Cohl                	rating = 0.00	genres = ['Cart', ]
Film 	id = GdL10     	title = Marin Valiero, Doge of Venice                     	year = 1909    	director = deLiguoro           	rating = 0.00	genres = ['Hist', ]
Film 	id = MCs2      	title = The Pilgrim's Progress                            	year = 1912    	director = Caserini            	rating = 0.00	genres = ['Dram', ]
Film 	id = MCs3      	title = Macbeth                                           	year = 1913    	director = Caserini            	rating = 0.00	genres = ['Dram', ]
Film 	id = MCs10     	title = Love Everlasting                                  	year = 1913    	director = Caserini            	rating = 0.00	genres = ['Dram', ]
Film 	id = WMk10     	title = Gertie the Dino                                   	year = 1909    	director = Mackay              	rating = 0.00	genres = ['Cart', ]
Film 	id = FkP10     	title = All on Account of Milk                            	year = 1910    	director = F.Powell            	rating = 0.00	genres = ['Romt', ]
Film 	id = GlS10     	title = The Merchant of Venice                            	year = 1910    	director = loSavio             	rating = 0.00	genres = ['Dram', ]
Film 	id = ISB10     	title = Life of Moses                                     	year = 1910    	director = Blackton            	rating = 0.00	genres = ['Biop', ]
Film 	id = ThB10     	title = The Old Curiosity Shop                            	year = 1913    	director = Bentley             	rating = 0.00	genres = ['Dram', ]
Film 	id = ThB30     	title = The Old Curiosity Shop                            	year = 1921    	director = Bentley             	rating = 0.00	genres = ['Dram', ]
Film 	id = ThB55     	title = Hobson's Choice                                   	year = 1931    	director = Bentley             	rating = 0.00	genres = ['Dram', ]
Film 	id = UgF10     	title = Salome                                            	year = 1910    	director = Falena              	rating = 0.00	genres = ['Dram', ]
Film 	id = UgF12     	title = Francesca di Rimini                               	year = 1911    	director = Falena              	rating = 0.00	genres = ['Romt', ]
Film 	id = APv11     	title = Homer's Odyssey                                   	year = 1911    	director = Francesco Bertolini 	rating = 0.00	genres = ['Advt', ]
Film 	id = AuB10     	title = The Vampire Dancer                                	year = 1911    	director = Blom                	rating = 0.00	genres = ['Dram', ]
Film 	id = ThI10     	title = Little Dove's Romance                             	year = 1911    	director = Th.Ince             	rating = 0.00	genres = ['West', ]
Film 	id = ThI18     	title = Battle of the Red Men                             	year = 1912    	director = Th.Ince             	rating = 0.00	genres = ['West', ]
Film 	id = ThI33     	title = The Death Mask                                    	year = 1914    	director = Th.Ince             	rating = 0.00	genres = ['West', ]
Film 	id = ThI40     	title = Civilization                                      	year = 1915    	director = Th.Ince             	rating = 0.00	genres = ['Fant', ]
